nombre,fecha_fun,pais
Manchester City F.C.,16/04/1880,Inglaterra
Chelsea F.C.,10/03/1905,Inglaterra
Tottenham Hotspur,05/09/1882,Inglaterra
Liverpool F.C.,03/06/1892,Inglaterra
Manchester United F.C.,05/03/1878,Inglaterra
Arsenal F.C.,01/12/1886,Inglaterra
Everton F.C.,01/01/1878,Inglaterra
Leicester City F. C.,01/01/1884,Inglaterra
Aston Villa F.C.,21/11/1874,Inglaterra
Newcastle United F. C.,09/12/1892,Inglaterra
Bayern de Múnich,27/02/1900,Alemania
Borussia Dortmund,19/12/1909,Alemania
Bayer 04 Leverkusen,01/07/1904,Alemania
R.B. Leipzig,19/05/2009,Alemania
Borussia Mönchengladbach,01/08/1900,Alemania
VfB Stuttgart,09/09/1893,Alemania
VfL Wolfsburgo,12/09/1945,Alemania
Eintracht Fráncfort,08/03/1899,Alemania
TSG 1899 Hoffenheim,01/07/1899,Alemania
BFC Dinamo,15/01/1966,Alemania
Lille O.S.C.,23/09/1944,Francia
Olympique de Lyon,03/08/1950,Francia
Olympique de Marsella,31/08/1899,Francia
A.S.Mónaco F.C.,23/08/1924,Francia
Paris-Saint-Germain F.C.,12/08/1970,Francia
F.C.Nantes,21/04/1943,Francia
Montpellier Hérault S.C.,01/01/1974,Francia
Stade Rennais F.C.,10/03/1901,Francia
O.G.C. Nice,09/07/1904,Francia
F.C. Metz,01/01/1932,Francia
F.C. Barcelona,29/11/1899,España
Real Madrid C.F.,06/03/1902,España
Atlético de Madrid,26/04/1903,España
Sevilla F.C.,25/01/1890,España
Villarreal C.F.,10/03/1923,España
Valencia C.F.,18/03/1919,España
Real Betis Balompié,12/09/1907,España
Real Sociedad,07/09/1909,España
Athletic Club,05/01/1898,España
Deportivo de La Coruña,08/12/1906,España
A.C. Milan,16/12/1899,Italia
Inter de Milán,09/03/1908,Italia
Juventus,01/11/1897,Italia
A.S. Roma,07/06/1927,Italia
S.S.C. Napoli,01/08/1926,Italia
Lazio,09/01/1900,Italia
ACF Fiorentina,29/08/1926,Italia
U.C. Sampdoria,12/08/1946,Italia
Torino F.C.,03/12/1906,Italia
Bologna,03/10/1909,Italia
Oporto,28/09/1893,Portugal
Sporting de Lisboa,01/07/1906,Portugal
S.L. Benfica,28/02/1904,Portugal
Belenenses,23/09/1919,Portugal
Atlético CP,18/09/1942,Portugal
Vitória Setúbal,20/11/1910,Portugal
Vitória de Guimarães,22/09/1922,Portugal
Académica de Coimbra,03/11/1887,Portugal
Boavista,01/08/1903,Portugal
S.C. Braga,19/01/1921,Portugal
A.F.C. Ajax,18/03/1900,Holanda
AZ Alkmaar,10/05/1967,Holanda
F.C. Groningen,16/06/1971,Holanda
F.C. Twente,01/07/1965,Holanda
F.C. Utrecht,01/07/1970,Holanda
Feyenoord,19/07/1908,Holanda
Fortuna Sittard,01/07/1968,Holanda
PSV Eindhoven,31/08/1913,Holanda
NEC Nijmegen,15/11/1900,Holanda
Heracles Almelo,03/05/1903,Holanda
Atlético Mineiro,25/03/1908,Brasil
Atlético Goianiense,02/04/1937,Brasil
S.C. Corinthians,01/09/1910,Brasil
Flamengo,15/11/1895,Brasil
Fluminense,21/07/1902,Brasil
Grêmio,15/09/1903,Brasil
Palmeiras,26/08/1914,Brasil
Santos F.C.,14/04/1912,Brasil
São Paulo,25/01/1930,Brasil
Internacional,04/04/1909,Brasil
Boca Juniors,03/04/1905,Argentina
Central Córdoba (SdE),03/06/1919,Argentina
Club Atlético Colón,05/05/1905,Argentina
Defensa y Justicia,20/03/1935,Argentina
Estudiantes de La Plata,04/08/1905,Argentina
Independiente,04/08/1904,Argentina
Newell's Old Boys,03/11/1903,Argentina
River Plate,25/05/1901,Argentina
Racing Club,25/03/1903,Argentina
Rosario Central,24/12/1889,Argentina
Antigua G.F.C.,05/01/1958,Guatemala
C.D. Cobán Imperial,01/08/1936,Guatemala
Comunicaciones F.C.,16/08/1949,Guatemala
C.D. Guastatoya,05/05/2010,Guatemala
Deportivo Malacateco,08/09/1962,Guatemala
C.S.D. Municipal,17/05/1936,Guatemala
Xelajú M.C.,24/02/1942,Guatemala
Tipografía Nacional,01/01/1924,Guatemala
C.D. Iztapa,01/01/1924,Guatemala
F.C. Santa Lucía Cotzumalguapa,01/01/1992,Guatemala
Club América,12/10/1916,Mexico
Club Deportivo Guadalajara,08/05/1906,Mexico
Deportivo Toluca Fútbol Club,12/02/1917,Mexico
Cruz Azul,22/03/1927,Mexico
Atlas,15/08/1916,Mexico
Club de Fútbol Monterrey,28/06/1945,Mexico
Universidad Nacional,02/08/1954,Mexico
Atlante Fútbol Club,08/12/1918,Mexico
Club León,31/08/1943,Mexico
Club Puebla,07/05/1944,Mexico
